Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:October:2025 00:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 00:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 00:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,3.00 GB,28.99 GB
01:October:2025 00:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 00:44:41,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,18.92 GB,172.99 GB
01:October:2025 00:45:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 00:49:41,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,18.92 GB,172.99 GB
01:October:2025 00:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 00:58:41,Critical 90% - Memory,CA,10.0.60.12,Local_Timer_System,Infra-Team,Critical,Memory,N/A,N/A,,,N/A,97.80%
01:October:2025 01:03:41,Critical 90% - Memory,CA,10.0.60.12,Local_Timer_System,Infra-Team,Critical,Memory,N/A,N/A,,,N/A,97.01%
01:October:2025 01:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 01:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 01:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.98 GB,29.02 GB
01:October:2025 01:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 01:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 01:50:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 02:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"91.53GB 
  ServerDetails",90.00%
01:October:2025 02:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 02:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 02:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.91 GB,29.09 GB
01:October:2025 02:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 02:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 02:50:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 03:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 03:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 03:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 03:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.85 GB,29.15 GB
01:October:2025 03:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 03:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 03:50:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 04:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 04:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 04:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 04:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.90 GB,29.10 GB
01:October:2025 04:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 04:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 04:55:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 05:01:26,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,3.01 GB,28.98 GB
01:October:2025 05:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 05:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 05:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 05:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.92 GB,29.08 GB
01:October:2025 05:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 05:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 05:55:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 06:01:26,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,2.97 GB,29.03 GB
01:October:2025 06:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 06:13:56,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,18.81 GB,173.10 GB
01:October:2025 06:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 06:14:08,Critical 65% - CPU,CA,192.168.1.53,LAMA-Local,LAMA,Critical,CPU,24 Core,,,,11.25%,88.75%
01:October:2025 06:18:56,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,18.81 GB,173.10 GB
01:October:2025 06:19:08,Critical 65% - CPU,CA,192.168.1.53,LAMA-Local,LAMA,Critical,CPU,24 Core,,,,34.34%,65.66%
01:October:2025 06:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 06:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.83 GB,29.17 GB
01:October:2025 06:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 06:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 06:55:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 06:56:56,Critical 90% - Memory,CA,172.16.1.139,IDG-SMC-Temporal,IDG,Critical,Memory,4 Core,23.61 GB,,,2.36 GB,21.25 GB
01:October:2025 07:01:26,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,2.91 GB,29.09 GB
01:October:2025 07:01:56,Critical 90% - Memory,CA,172.16.1.139,IDG-SMC-Temporal,IDG,Critical,Memory,4 Core,23.61 GB,,,2.36 GB,21.25 GB
01:October:2025 07:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 07:05:41,Critical 90% - Memory,CA,10.0.60.3,Delhi_Chief_System,Infra-Team,Critical,Memory,8 Core,31.88 GB,,,1.67 GB,30.20 GB
01:October:2025 07:10:41,Critical 90% - Memory,CA,10.0.60.3,Delhi_Chief_System,Infra-Team,Critical,Memory,8 Core,31.88 GB,,,2.90 GB,28.98 GB
01:October:2025 07:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 07:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 07:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.82 GB,29.18 GB
01:October:2025 07:40:41,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,16.85 GB,175.06 GB
01:October:2025 07:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 07:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 07:55:08,Critical 90% - Disk,CA,172.16.0.109,SMC-Focus,BackOffice,Critical,Disk,8 Core,,156.15 GB,C:,15.62 GB,140.54 GB
01:October:2025 08:00:26,Critical 90% - Memory,CA,172.16.1.137,IDG-SMC-Redis,IDG,Critical,Memory,4 Core,31.61 GB,,,3.16 GB,28.45 GB
01:October:2025 08:01:26,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,2.89 GB,29.11 GB
01:October:2025 08:03:26,Critical 90% - Disk,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Disk,N/A,,N/A,D:,"97.09GB 
  ServerDetails",90.00%
01:October:2025 08:05:26,Critical 90% - Memory,CA,172.16.1.137,IDG-SMC-Redis,IDG,Critical,Memory,4 Core,31.61 GB,,,3.16 GB,28.45 GB
01:October:2025 08:06:26,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,3.00 GB,29.00 GB
01:October:2025 08:08:41,Critical 90% - Memory,CA,172.16.14.231,MCX,Infra-Team,Critical,Memory,16 Core,32.00 GB,,,3.08 GB,28.92 GB
01:October:2025 08:14:01,Critical 90% - Disk,CA,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.56GB 
  ServerDetails",90.00%
01:October:2025 08:20:22,Critical 90% - Disk,CA,172.16.0.94,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 08:32:41,Critical 90% - Memory,CA,172.16.0.52,SMC-Focus,BackOffice,Critical,Memory,16 Core,32.00 GB,,,2.73 GB,29.27 GB
01:October:2025 08:40:41,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,17.60 GB,174.31 GB
01:October:2025 08:41:14,Critical 90% - Disk,CA,172.16.0.42,SMC-Focus,BackOffice,Critical,Disk,4 Core,,158.58 GB,D:,15.86 GB,142.72 GB
01:October:2025 08:50:07,Critical 90% - Disk,CA,172.16.0.95,Class,DBA-Team,Critical,Disk,64 Core,,5.82 TB,F:,596.16 GB,5.24 TB
01:October:2025 08:50:41,Critical 90% - Memory,CA,172.16.0.50,SMC-Focus,BackOffice,Critical,Memory,24 Core,191.91 GB,,,18.02 GB,173.89 GB
