Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used,Summary,Description
25:July:2026 06:48:58,InstanceDown,CA,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical - Instance Down,Stoxkart-Moneywise,16 Core,64.00 GB,211.12 GB,N/A,N/A,N/A,"Instance Down - Group: Product-team, instance: 192.168.1.161",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect] has been down for more than 1 minutes.
25:July:2026 06:49:13,InstanceDown,CA,192.168.1.159,Stoxkart-Odin-Manager,LAMA,Critical - Instance Down,Stoxkart-Moneywise,24 Core,62.26 GB,455.64 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.159",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:LAMA group1:Moneywise instance:192.168.1.159 job:Stoxkart-Odin-Manager] has been down for more than 1 minutes.
25:July:2026 06:51:14,WindowsServerDiskSpaceUsage,CA,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical 50%,Disk,16 Core,64.00 GB,292.97 GB,D:,146.48 GB,146.48 GB,"Windows Server Disk Space Usage 50% - Group: Product-team, Instance: 192.168.1.161, Drive: D:","Disk usage is more than 50%
Free Space = 52.88GB
Server Details = map[Asset:CA company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect volume:D:]"
25:July:2026 06:53:09,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,271.86 GB,328.14 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 54.69%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
25:July:2026 06:53:13,WindowsServerDiskSpaceUsage,CA,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical 50%,Disk,16 Core,64.00 GB,292.97 GB,D:,146.48 GB,146.48 GB,"Windows Server Disk Space Usage 50% - Group: Product-team, Instance: 192.168.1.161, Drive: D:","Disk usage is more than 50%
Free Space = 50.15GB
Server Details = map[Asset:CA company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect volume:D:]"
25:July:2026 06:53:58,InstanceDown,CA,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical - Instance Down,Stoxkart-Moneywise,16 Core,64.00 GB,211.12 GB,N/A,N/A,N/A,"Instance Down - Group: Product-team, instance: 192.168.1.161",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.161 job:Stoxkart-Odin-Connect] has been down for more than 1 minutes.
25:July:2026 07:13:09,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,23.34 GB,40.66 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 63.53%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
25:July:2026 07:15:58,InstanceDown,CA,192.168.1.190,Stoxkart-Odin-WebServer,Product-team,Critical - Instance Down,Stoxkart-Moneywise,16 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: Product-team, instance: 192.168.1.190",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.190 job:Stoxkart-Odin-WebServer]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.190 job:Stoxkart-Odin-WebServer] has been down for more than 1 minutes.
25:July:2026 07:18:09,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,23.33 GB,40.67 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 63.55%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
25:July:2026 07:19:28,InstanceDown,CA,192.168.1.174,Stoxkart-RupeeSeed,LAMA,Critical - Instance Down,Stoxkart,16 Core,16.00 GB,152.91 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.174",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.174 job:Stoxkart-RupeeSeed]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.174 job:Stoxkart-RupeeSeed] has been down for more than 1 minutes.
25:July:2026 07:20:58,InstanceDown,CA,192.168.1.190,Stoxkart-Odin-WebServer,Product-team,Critical - Instance Down,Stoxkart-Moneywise,16 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: Product-team, instance: 192.168.1.190",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.190 job:Stoxkart-Odin-WebServer]  GroupName = map[Asset:CA __name__:up company:Stoxkart-Moneywise group:Product-team group1:Moneywise instance:192.168.1.190 job:Stoxkart-Odin-WebServer] has been down for more than 1 minutes.
25:July:2026 07:24:28,InstanceDown,CA,192.168.1.174,Stoxkart-RupeeSeed,LAMA,Critical - Instance Down,Stoxkart,16 Core,16.00 GB,152.91 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.174",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.174 job:Stoxkart-RupeeSeed]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.174 job:Stoxkart-RupeeSeed] has been down for more than 1 minutes.
