Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used,Summary,Description
01:July:2026 00:03:23,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 65%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.62 GB,43.38 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 65%
  Used = 67.78% 
  ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 00:03:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,292.38 GB,307.62 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 51.27%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 00:08:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 24.97GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 00:21:08,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Warning 60%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.86 GB,43.14 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 60%
Used = 67.4%
ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 00:30:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.99 GB,44.01 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 68.77%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 00:38:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 65%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.85 GB,44.15 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 65%
  Used = 68.98% 
  ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 00:57:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,113.72 GB,336.13 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 74.72%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 00:57:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 25.36GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 01:03:23,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 65%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.87 GB,43.13 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 65%
  Used = 67.39% 
  ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 01:03:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,285.84 GB,314.16 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 52.36%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 01:06:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Warning 60%,Disk,16 Core,109.99 GB,317.34 GB,/,126.93 GB,190.40 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 40% left)
  Available = 35.68GB 
  ServerDetails = map[company:Stoxkart device:/dev/mapper/centos_stx--rseed-root fstype:xfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:06:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Warning 60%,Disk,16 Core,109.99 GB,317.34 GB,/,126.93 GB,190.40 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 40% left)
  Available = 35.68GB 
  ServerDetails = map[company:Stoxkart device:rootfs fstype:rootfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:08:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 24.52GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 01:09:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Critical 65%,Disk,16 Core,109.99 GB,317.34 GB,/,111.07 GB,206.27 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 35% left)
  Available = 31.9GB 
  ServerDetails = map[company:Stoxkart device:/dev/mapper/centos_stx--rseed-root fstype:xfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:09:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Critical 65%,Disk,16 Core,109.99 GB,317.34 GB,/,111.07 GB,206.27 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 35% left)
  Available = 31.9GB 
  ServerDetails = map[company:Stoxkart device:rootfs fstype:rootfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:21:08,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Warning 60%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.86 GB,43.14 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 60%
Used = 67.41%
ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 01:24:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Critical 65%,Disk,16 Core,109.99 GB,317.34 GB,/,111.07 GB,206.27 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 35% left)
  Available = 29.38GB 
  ServerDetails = map[company:Stoxkart device:rootfs fstype:rootfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:24:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Critical 65%,Disk,16 Core,109.99 GB,317.34 GB,/,111.07 GB,206.27 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 35% left)
  Available = 29.38GB 
  ServerDetails = map[company:Stoxkart device:/dev/mapper/centos_stx--rseed-root fstype:xfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:26:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Warning 60%,Disk,16 Core,109.99 GB,317.34 GB,/,126.93 GB,190.40 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 40% left)
  Available = 29.38GB 
  ServerDetails = map[company:Stoxkart device:rootfs fstype:rootfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:26:08,LinuxServerRootDiskSpace,CA,192.168.176.155,Stoxkart-RupeeSeed-DR,LAMA,Warning 60%,Disk,16 Core,109.99 GB,317.34 GB,/,126.93 GB,190.40 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.176.155, Mountpoint: /","Disk is almost full (< 40% left)
  Available = 29.38GB 
  ServerDetails = map[company:Stoxkart device:/dev/mapper/centos_stx--rseed-root fstype:xfs group:LAMA instance:192.168.176.155 job:Stoxkart-RupeeSeed-DR mountpoint:/]"
01:July:2026 01:30:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.85 GB,44.15 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 68.99%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 01:38:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 65%,Memory,36 Core,64.00 GB,199.40 GB,N/A,20.04 GB,43.96 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 65%
  Used = 68.69% 
  ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 01:57:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,114.31 GB,335.55 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 74.59%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 01:57:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 25.41GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 02:03:23,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 65%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.86 GB,43.14 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 65%
  Used = 67.41% 
  ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 02:03:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,285.78 GB,314.22 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 52.37%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 02:08:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 25.4GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 02:21:08,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Warning 60%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.84 GB,43.15 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 60%
Used = 67.43%
ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 02:30:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,20.03 GB,43.97 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 68.7%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 02:38:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 65%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.90 GB,44.10 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 65%
  Used = 68.91% 
  ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 02:57:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,113.36 GB,336.49 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 74.8%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 02:57:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 25.2GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 03:03:23,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 65%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.83 GB,43.17 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 65%
  Used = 67.45% 
  ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 03:03:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,285.72 GB,314.28 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 52.38%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 03:08:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 15.25GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 03:21:08,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Warning 60%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.60 GB,43.40 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 60%
Used = 67.81%
ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 03:30:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.91 GB,44.09 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 68.89%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 03:38:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 65%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.87 GB,44.13 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 65%
  Used = 68.95% 
  ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 03:57:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,103.06 GB,346.80 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 77.09%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 03:57:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 23.58GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 04:03:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 65%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.62 GB,44.38 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 65%
  Used = 69.34% 
  ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 04:03:23,WindowsServerMemoryUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 65%,Memory,16 Core,64.00 GB,149.40 GB,N/A,20.86 GB,43.14 GB,"Windows Server Memory Usage 65% - Group: LAMA, Instance: 192.168.1.155","Memory usage is more than 65%
  Used = 67.41% 
  ServerDetails = map[company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer]"
01:July:2026 04:03:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,285.72 GB,314.28 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 52.38%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 04:05:08,WindowsServerMemoryUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Warning 60%,Memory,36 Core,64.00 GB,199.40 GB,N/A,19.62 GB,44.38 GB,"Windows Server Memory Usage 60% - Group: LAMA, Instance: 192.168.1.225","Memory usage is more than 60%
Used = 69.34%
ServerDetails = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]"
01:July:2026 04:08:51,WindowsServerDiskSpaceUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 50%,Disk,36 Core,64.00 GB,600.00 GB,D:,298.80 GB,301.20 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.225, Drive: D:","Disk usage is above 50%
Used = 50.2%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS volume:D:]"
01:July:2026 04:08:53,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 23.8GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
01:July:2026 04:12:58,InstanceDown,CA,192.168.1.226,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,8 Core,23.53 GB,96.66 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.226",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:13:13,InstanceDown,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,36 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.225",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:13:51,WindowsServerDiskSpaceUsage,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical 50%,Disk,36 Core,64.00 GB,600.00 GB,D:,298.80 GB,301.20 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.225, Drive: D:","Disk usage is above 50%
Used = 50.2%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS volume:D:]"
01:July:2026 04:15:43,InstanceDown,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,24 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.158",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:17:58,InstanceDown,CA,192.168.1.226,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,8 Core,23.53 GB,96.66 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.226",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:18:13,InstanceDown,CA,192.168.1.225,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,36 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.225",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.225 job:Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:18:51,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,285.72 GB,314.28 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 52.38%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
01:July:2026 04:20:43,InstanceDown,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,24 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.158",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS] has been down for more than 1 minutes.
01:July:2026 04:20:58,InstanceDown,CA,192.168.1.202,MDS-Rupeeseed-,Product-team,Critical - Instance Down,Stoxkart,N/A,N/A,147.88 GB,N/A,N/A,N/A,"Instance Down - Group: Product-team, instance: 192.168.1.202",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:Product-team instance:192.168.1.202 job:MDS-Rupeeseed-(MDF)]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:Product-team instance:192.168.1.202 job:MDS-Rupeeseed-(MDF)] has been down for more than 1 minutes.
